"Depth","d13C","TotalC","d15N","TotalN","DryWeight"
0.2,-27.57,806.49,3.05,64.21,"8.2"
0.4,-27.67,949.33,3.01,73.26,"7.6"
0.8,-27.63,1305.52,2.93,93.25,"11.6"
1.2,-27.62,1136.04,2.33,86.09,"9.6"
1.6,-27.48,1028.27,2.09,93.80,"10.9"
2,-27.39,809.91,2.66,79.98,"9.9"
2.8,-27.61,951.59,2.25,91.60,"11.4"
3.2,-27.70,1515.39,2.71,138.50,"18"
3.6,-27.59,1471.39,2.82,129.67,"15"
4,-27.43,1449.35,2.73,113.82,"15"
4.4,-27.29,780.31,2.46,67.61,"7.7"
4.8,-26.99,1733.92,2.29,157.84,"19.4"
5.2,-26.93,733.57,2.17,68.75,"9.9"
5.6,-27.02,938.03,2.40,87.75,"13.8"
6,-27.17,1160.66,2.25,107.38,"13.6"
6.4,-27.05,1020.39,2.17,95.44,"11.2"
6.8,-26.92,1144.99,2.45,103.60,"12.9"
7.2,-26.77,635.18,2.21,58.22,"8.1"
7.6,-26.75,1068.75,2.79,92.70,"12.4"
8,-26.88,890.50,2.82,74.38,"10.8"
8.4,-26.77,974.17,3.17,76.62,"10.9"
8.8,-26.45,779.18,3.40,62.50,"8.6"
9.2,-26.18,662.68,3.46,53.23,"6.5"
9.6,-26.42,698.16,3.75,55.59,"9.5"
10,-27.46,887.10,3.83,71.57,"11.3"
10.4,-26.69,880.30,3.93,69.31,"10.1"
10.8,-26.29,890.50,3.81,70.44,"9.6"
11.2,-26.36,605.35,4.00,46.93,"7.9"
11.6,-26.25,1097.93,4.32,79.42,"13.2"
12,-26.28,1088.96,4.08,81.09,"14.6"
12.4,-26.23,864.43,3.85,65.91,"11.9"
12.8,-26.23,986.58,3.84,77.18,"12.3"
13.2,-26.59,479.83,3.91,39.01,"10.2"
13.6,-26.45,866.69,4.02,68.75,"10.9"
14,-26.44,742.70,4.04,60.22,"8.5"
14.4,-26.41,1001.24,3.96,81.65,"10.9"
14.8,-26.47,866.69,3.99,72.13,"11"
15.2,-26.66,788.29,4.00,64.78,"9.1"
16,-26.89,890.50,3.94,72.69,"12.4"
16.4,-26.77,1003.49,3.94,83.31,"12.6"
16.8,-26.63,927.86,4.01,77.18,"12.6"
17.2,-26.59,629.45,3.89,52.36,"7.1"
17.6,-26.61,396.51,3.87,32.97,"5.6"
18,-26.77,779.18,3.98,63.07,"9.3"
18.4,-26.82,642.06,3.86,54.78,"8.4"
18.8,-26.94,1015.88,3.89,87.19,"13.1"
19.2,-26.55,563.97,3.69,47.57,"6.5"
19.6,-26.84,615.68,3.84,54.26,"7.4"
